OP_UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_PAX_ENP_110
04Q,Tradewind Aviation,15024,K,10,39
04Q,Tradewind Aviation,14843,K,677,3649
04Q,Tradewind Aviation,10257,V,4,6
04Q,Tradewind Aviation,15323,V,1,3
04Q,Tradewind Aviation,10158,V,1,2
04Q,Tradewind Aviation,10821,V,2,5
04Q,Tradewind Aviation,11577,V,1,2
04Q,Tradewind Aviation,10670,V,2,2
04Q,Tradewind Aviation,12397,V,1,4
04Q,Tradewind Aviation,10721,V,6,19
04Q,Tradewind Aviation,10792,V,2,11
04Q,Tradewind Aviation,12323,V,1,7
04Q,Tradewind Aviation,13535,V,7,33
04Q,Tradewind Aviation,15024,V,7,23
04Q,Tradewind Aviation,10198,V,1,1
04Q,Tradewind Aviation,13731,V,3,7
04Q,Tradewind Aviation,13984,V,3,6
04Q,Tradewind Aviation,15027,V,2,8
04Q,Tradewind Aviation,11961,V,1,2
04Q,Tradewind Aviation,15203,V,1,6
04Q,Tradewind Aviation,15260,V,2,3
04Q,Tradewind Aviation,12119,V,3,8
04Q,Tradewind Aviation,16353,V,3,14
04Q,Tradewind Aviation,11697,V,1,1
04Q,Tradewind Aviation,11615,V,2,2
04Q,Tradewind Aviation,10374,V,1,1
04Q,Tradewind Aviation,11986,V,1,3
04Q,Tradewind Aviation,12661,V,1,3
04Q,Tradewind Aviation,13230,V,1,1
04Q,Tradewind Aviation,10529,V,1,7
04Q,Tradewind Aviation,14182,V,1,4
04Q,Tradewind Aviation,12451,V,1,1
04Q,Tradewind Aviation,12889,V,1,2
04Q,Tradewind Aviation,15356,V,1,1
04Q,Tradewind Aviation,14819,V,5,21
04Q,Tradewind Aviation,14553,V,1,2
04Q,Tradewind Aviation,10693,V,1,5
04Q,Tradewind Aviation,12478,V,2,3
04Q,Tradewind Aviation,10731,V,1,1
04Q,Tradewind Aviation,11728,V,1,4
04Q,Tradewind Aviation,14100,V,1,1
04Q,Tradewind Aviation,13139,V,1,4
04Q,Tradewind Aviation,14122,V,1,2
04Q,Tradewind Aviation,14307,V,3,9
04Q,Tradewind Aviation,14492,V,4,12
04Q,Tradewind Aviation,10572,V,1,3
04Q,Tradewind Aviation,14524,V,6,22
04Q,Tradewind Aviation,14576,V,1,6
04Q,Tradewind Aviation,12944,V,1,3
04Q,Tradewind Aviation,15016,V,1,1
04Q,Tradewind Aviation,13125,V,1,1
04Q,Tradewind Aviation,13599,V,1,1
04Q,Tradewind Aviation,13987,V,5,19
04Q,Tradewind Aviation,14843,V,149,678
04Q,Tradewind Aviation,10569,V,1,6
04Q,Tradewind Aviation,15096,V,4,16
04Q,Tradewind Aviation,12264,V,5,16
04Q,Tradewind Aviation,14027,V,1,8
04Q,Tradewind Aviation,12197,V,72,237
04Q,Tradewind Aviation,11456,V,2,6
04Q,Tradewind Aviation,11764,V,3,13
04Q,Tradewind Aviation,16541,V,1,2
04Q,Tradewind Aviation,15167,V,42,88
04Q,Tradewind Aviation,10927,V,1,2
04Q,Tradewind Aviation,14696,V,1,3
04Q,Tradewind Aviation,14112,V,1,2
04Q,Tradewind Aviation,14306,V,2,7
04Q,Tradewind Aviation,15634,V,1,4
04Q,Tradewind Aviation,16634,V,1,2
04Q,Tradewind Aviation,14751,V,1,2
04Q,Tradewind Aviation,14802,V,1,2
04Q,Tradewind Aviation,13541,V,11,28
04Q,Tradewind Aviation,10154,V,6,15
04Q,Tradewind Aviation,14875,V,1,3
04Q,Tradewind Aviation,13176,V,2,7
04Q,Tradewind Aviation,16525,V,1,2
04Q,Tradewind Aviation,11842,V,2,4
04Q,Tradewind Aviation,14321,V,1,3
04Q,Tradewind Aviation,10785,V,7,25
04Q,Tradewind Aviation,11493,V,2,5
04Q,Tradewind Aviation,13296,V,1,1
04Q,Tradewind Aviation,15382,V,1,4
04Q,Tradewind Aviation,15737,V,1,5
04Q,Tradewind Aviation,10472,V,1,2
04Q,Tradewind Aviation,13184,V,1,1
04Q,Tradewind Aviation,10990,V,1,3
04Q,Tradewind Aviation,16542,V,1,2
04Q,Tradewind Aviation,14778,V,1,1
04Q,Tradewind Aviation,16526,V,1,1
04Q,Tradewind Aviation,10414,V,1,2
04Q,Tradewind Aviation,10540,V,21,59
04Q,Tradewind Aviation,12916,V,1,8
04Q,Tradewind Aviation,14050,V,1,3
04Q,Tradewind Aviation,11659,V,1,2
04Q,Tradewind Aviation,10815,V,3,5
04Q,Tradewind Aviation,11675,V,1,1
04Q,Tradewind Aviation,13418,V,1,6
04Q,Tradewind Aviation,13398,V,2,3
04Q,Tradewind Aviation,16540,V,1,1
04Q,Tradewind Aviation,16847,V,1,5
04Q,Tradewind Aviation,15024,K,11,51
04Q,Tradewind Aviation,12250,K,1,7
04Q,Tradewind Aviation,14843,K,390,2017
04Q,Tradewind Aviation,12197,K,161,898
04Q,Tradewind Aviation,13541,K,42,185
04Q,Tradewind Aviation,10154,K,105,561
04Q,Tradewind Aviation,10257,V,1,1
04Q,Tradewind Aviation,10577,V,1,4
04Q,Tradewind Aviation,15931,V,1,1
04Q,Tradewind Aviation,11773,V,1,4
04Q,Tradewind Aviation,16755,V,1,1
04Q,Tradewind Aviation,13450,V,1,6
04Q,Tradewind Aviation,16851,V,2,3
04Q,Tradewind Aviation,10821,V,5,21
04Q,Tradewind Aviation,11577,V,1,2
04Q,Tradewind Aviation,10670,V,1,1
04Q,Tradewind Aviation,11453,V,1,6
04Q,Tradewind Aviation,12397,V,8,31
04Q,Tradewind Aviation,10721,V,23,79
04Q,Tradewind Aviation,12108,V,1,2
04Q,Tradewind Aviation,10792,V,6,20
04Q,Tradewind Aviation,12323,V,1,2
04Q,Tradewind Aviation,13121,V,1,2
04Q,Tradewind Aviation,13535,V,5,31
04Q,Tradewind Aviation,13731,V,12,32
04Q,Tradewind Aviation,13984,V,6,23
04Q,Tradewind Aviation,15027,V,2,15
04Q,Tradewind Aviation,11883,V,1,4
04Q,Tradewind Aviation,14255,V,2,4
04Q,Tradewind Aviation,11961,V,1,5
04Q,Tradewind Aviation,11066,V,1,2
04Q,Tradewind Aviation,12250,V,5,19
04Q,Tradewind Aviation,15656,V,1,3
04Q,Tradewind Aviation,12119,V,2,4
04Q,Tradewind Aviation,11615,V,3,5
04Q,Tradewind Aviation,14332,V,1,6
04Q,Tradewind Aviation,14320,V,1,6
04Q,Tradewind Aviation,11995,V,1,1
04Q,Tradewind Aviation,13230,V,1,1
04Q,Tradewind Aviation,10529,V,1,1
04Q,Tradewind Aviation,14182,V,3,7
04Q,Tradewind Aviation,12544,V,1,4
04Q,Tradewind Aviation,12339,V,1,2
04Q,Tradewind Aviation,13394,V,1,4
04Q,Tradewind Aviation,14730,V,1,6
04Q,Tradewind Aviation,12320,V,1,1
04Q,Tradewind Aviation,15356,V,2,7
04Q,Tradewind Aviation,13244,V,1,2
04Q,Tradewind Aviation,13342,V,1,2
04Q,Tradewind Aviation,13487,V,1,6
